FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160803;0000;9,77853;;;
160804;0000;17,3293;;;
160805;0000;18,8172;;;
160806;0000;17,6553;;;
160807;0000;18,9743;;;
160808;0000;21,5692;;;
160809;0000;18,7304;;;
160810;0000;15,1595;;;
160811;0000;19,0877;;;
160812;0000;21,8651;;;
160813;0000;23,5835;;;
160814;0000;14,6832;;;
160815;0000;11,5643;;;
160816;0000;6,04058;;;
160817;0000;10,6995;;;
160818;0000;15,742;;;
160819;0000;11,4832;;;
160820;0000;15,2707;;;
160821;0000;26,6301;;;
160822;0000;19,1079;;;
160823;0000;20,3215;;;
160824;0000;13,9771;;;
160825;0000;9,274;;;
160826;0000;17,3739;;;
160827;0000;17,3939;;;
160828;0000;12,99;;;
160829;0000;19,0052;;;
160830;0000;23,7023;;;
160831;0000;23,9235;;;
160901;0000;21,7772;;;
160902;0000;12,6156;;;
160903;0000;11,5894;;;
160904;0000;11,3953;;;
160905;0000;12,2679;;;
160906;0000;15,7177;;;
160907;0000;17,3371;;;
